created_at_x,email,estado_civil,id,name,prob_de_churn,team_id,updated_at_x,tempo_de_assinatura,historico_de_presenca_nos_jogos,historico_de_socio,numero_de_desistencias_no_periodo,historico_de_preco_nos_planos,tipo_de_plano,quantos_membros,planos_com_ingresso_incluso,feedback_sobre_servicos,frequencia_de_compra_de_produtos,tipo_pagamento,recorrencia,renda_mensal,aprovacao_cartao,LTV,CAC,expected_payments,ROI,investimento_mkt
2024-02-16 20:59:20 UTC,hoyt@boyer.example,solteiro,1,Lissette Goldner,0.7504357,1,2024-02-16 20:59:20 UTC,39,71,11,4,134,familiar,4,t,3,0,pix,False,2501-5000,True,522.6,3.014901424590337,348.40000000000003,172.33900065107787,0.0
2024-02-16 20:59:20 UTC,carol_wehner@ernser.test,divorciado,2,Royal Pollich,0.6769587,1,2024-02-16 20:59:20 UTC,52,60,1,1,219,familiar,3,t,1,3,pix,False,1501-2500,True,1138.8,2.9958520709648644,284.7,379.12557797395857,0.0
2024-02-16 20:59:20 UTC,lionel_cronin@boehm-gottlieb.example,casado,3,Murray Sawayn,0.65822893,1,2024-02-16 20:59:20 UTC,29,20,4,3,435,individual,4,f,4,5,boleto,False,0-1500,True,1261.5,3.0194306561430206,1566.0,416.7939961739088,0.0
2024-02-16 20:59:20 UTC,lyndsey_wolf@crist.test,solteiro,4,Sydney Wehner,0.72118086,1,2024-02-16 20:59:20 UTC,15,82,8,1,386,individual,4,t,2,10,cartão de crédito,True,0-1500,True,579.0,3.045690895692241,1930.0,189.10464943074987,0.0
2024-02-16 20:59:20 UTC,odelia_friesen@ratke.example,casado,5,Johnsie Ritchie,0.7454728,1,2024-02-16 20:59:20 UTC,43,86,3,3,239,individual,1,t,8,2,cartão de débito,True,2501-5000,True,1027.7,2.9929753987583,525.8000000000001,342.370680703344,0.0
2024-02-16 20:59:20 UTC,sasha@shields-ernser.example,divorciado,6,Lynwood Botsford,0.6768879,1,2024-02-16 20:59:20 UTC,87,15,21,5,17,individual,6,t,8,7,cartão de débito,True,1501-2500,True,147.89999999999998,2.9929758912915245,-37.400000000000006,48.41570041721197,0.0
2024-02-16 20:59:20 UTC,bianca.abshire@donnelly-kiehn.example,solteiro,7,Mavis Dare,0.6735821,1,2024-02-16 20:59:20 UTC,58,11,2,5,398,familiar,2,f,4,9,cartão de crédito,True,1501-2500,True,2308.4,3.0473763844652217,278.59999999999997,756.5040653880689,0.0
2024-02-16 20:59:20 UTC,rufus_gorczany@kuhn-von.test,divorciado,8,Michael Flatley,0.6723224,1,2024-02-16 20:59:20 UTC,30,73,20,5,126,familiar,2,t,3,2,boleto,False,1501-2500,True,378.0,3.023023041874587,441.0,124.04039657124177,0.0
2024-02-16 20:59:20 UTC,don.parker@romaguera.example,divorciado,9,Dr. Tiara Rosenbaum,0.6781805,1,2024-02-16 20:59:20 UTC,20,16,15,4,130,familiar,6,f,4,2,boleto,False,1501-2500,True,260.0,2.9859157684219513,585.0,86.07546366500799,0.0
2024-02-16 20:59:20 UTC,jessenia@hand-heathcote.test,casado,10,The Hon. Percy Kozey,0.7811855,1,2024-02-16 20:59:20 UTC,39,74,34,3,29,individual,6,f,0,7,boleto,False,1501-2500,True,113.1,3.016276801307579,75.4,36.49655865501809,0.0
2024-02-16 20:59:20 UTC,cary@corwin.test,solteiro,11,Faustino Gislason,0.6854202,1,2024-02-16 20:59:20 UTC,22,56,0,7,258,individual,6,t,7,6,cartão de crédito,True,1501-2500,True,567.6,2.9860974692156264,1109.3999999999999,189.0808683746999,0.0
2024-02-16 20:59:20 UTC,yong_glover@nader.test,divorciado,12,Msgr. Nestor Herzog,0.68021965,1,2024-02-16 20:59:20 UTC,71,62,18,0,355,familiar,3,t,1,7,pix,False,0-1500,True,2520.5,2.9860281073928925,-213.0,843.0978816507705,0.0
2024-02-16 20:59:20 UTC,gwenda@shanahan.example,divorciado,13,Tracy Bernhard,0.6813007,1,2024-02-16 20:59:20 UTC,19,41,23,5,325,individual,5,f,10,1,pix,False,2501-5000,True,617.5,3.007258868146981,1494.9999999999998,204.33649648209115,0.0
2024-02-16 20:59:20 UTC,cleopatra.feest@gislason.example,divorciado,14,Kristel Waelchi CPA,0.64934134,1,2024-02-16 20:59:20 UTC,56,42,26,8,82,familiar,1,t,10,0,pix,False,0-1500,True,459.2,2.942601592660266,73.8,155.0523861420394,0.0
2024-02-16 20:59:20 UTC,florencia_willms@huel.example,casado,15,Sen. Nathaniel Bartell,0.6734914,1,2024-02-16 20:59:20 UTC,71,14,6,1,9,familiar,3,f,1,1,cartão de débito,True,1501-2500,True,63.9,2.948252465024609,-5.3999999999999995,20.673856210772854,0.0
